<key>,<username>,<orgid>,<envid>,<envname>,<targetid>,<targetname>,<domainname>,<urlprotocol>,<urlappendix>,<externalip>,<baseurl>,<appname>,<appid>,<runtimeversion>,<nextruntimeversion>,<clusterprovider>,<anypointhost>,<rtftype>,<javaversion>
cuj-eu1-ocp-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,34872407-f29b-4c3b-9665-cba8352a491d,cuj-eu1-ocp,cuj-eu1-ocp.com,https,,20.253.144.59,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,openshift,eu1,helm,java8
cuj-eu1-ocp-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,34872407-f29b-4c3b-9665-cba8352a491d,cuj-eu1-ocp,cuj-eu1-ocp.com,https,,20.253.144.59,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,openshift,eu1,helm,java17
cuj-stgx-rtfctl-gke-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,eb871949-2033-4636-8b2f-063ee9e622d1,cuj-stgx-rtfctl-gke,cuj-stgx-rtfctl-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,gke,stgx,rtfctl,java8
cuj-stgx-rtfctl-gke-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,eb871949-2033-4636-8b2f-063ee9e622d1,cuj-stgx-rtfctl-gke,cuj-stgx-rtfctl-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,gke,stgx,rtfctl,java17
cuj-stgx-helm-gke-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,9357286c-4289-4d90-ac79-5715453f7d1b,cuj-stgx-helm-gke,cuj-stgx-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,gke,stgx,helm,java8
cuj-stgx-helm-gke-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,9357286c-4289-4d90-ac79-5715453f7d1b,cuj-stgx-helm-gke,cuj-stgx-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,gke,stgx,helm,java17
cuj-prod-helm-gke-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,057e2104-6e1e-4cde-b125-866a34e33ba5,cuj-prod-helm-gke,cuj-prod-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,gke,prod,helm,java8
cuj-prod-helm-gke-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,057e2104-6e1e-4cde-b125-866a34e33ba5,cuj-prod-helm-gke,cuj-prod-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,gke,prod,helm,java17
cuj-eu1-helm-gke-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,1be0cf6f-b63e-45ba-ad53-d41deecf32cb,cuj-eu1-helm-gke,cuj-eu1-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,gke,eu1,helm,java8
cuj-eu1-helm-gke-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,1be0cf6f-b63e-45ba-ad53-d41deecf32cb,cuj-eu1-helm-gke,cuj-eu1-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,gke,eu1,helm,java17
